Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-yiku,checkpoint-gn26,randomiser-2vg5,Randomise questionnaire elements?,Question Key,Response
1,1644855988817,14/02/2022 16:26:28,1644855986613,1,14/02/2022 17:26:26,73265,15,questionnaire-37ue,,19434304,BLIND,5767766,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.1,1440x900,1440x900,Part 1 completed,VAS-f-2,2,Part 1 completed,,Accuracy_level_1,No,BEGIN QUESTIONNAIRE,
2,1644856030786,14/02/2022 16:27:10,1644856028617,1,14/02/2022 17:27:08,73265,15,questionnaire-37ue,,19434304,BLIND,5767766,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.1,1440x900,1440x900,Part 1 completed,VAS-f-2,2,Part 1 completed,,Accuracy_level_1,No,0,8
3,1644856030885,14/02/2022 16:27:10,1644856028619,1,14/02/2022 17:27:08,73265,15,questionnaire-37ue,,19434304,BLIND,5767766,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.1,1440x900,1440x900,Part 1 completed,VAS-f-2,2,Part 1 completed,,Accuracy_level_1,No,1,4
4,1644856030885,14/02/2022 16:27:10,1644856028619,1,14/02/2022 17:27:08,73265,15,questionnaire-37ue,,19434304,BLIND,5767766,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.1,1440x900,1440x900,Part 1 completed,VAS-f-2,2,Part 1 completed,,Accuracy_level_1,No,2,4
5,1644856030885,14/02/2022 16:27:10,1644856028619,1,14/02/2022 17:27:08,73265,15,questionnaire-37ue,,19434304,BLIND,5767766,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.1,1440x900,1440x900,Part 1 completed,VAS-f-2,2,Part 1 completed,,Accuracy_level_1,No,3,4
6,1644856030885,14/02/2022 16:27:10,1644856028619,1,14/02/2022 17:27:08,73265,15,questionnaire-37ue,,19434304,BLIND,5767766,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.1,1440x900,1440x900,Part 1 completed,VAS-f-2,2,Part 1 completed,,Accuracy_level_1,No,4,4
7,1644856030885,14/02/2022 16:27:10,1644856028619,1,14/02/2022 17:27:08,73265,15,questionnaire-37ue,,19434304,BLIND,5767766,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.1,1440x900,1440x900,Part 1 completed,VAS-f-2,2,Part 1 completed,,Accuracy_level_1,No,5,4
8,1644856030885,14/02/2022 16:27:10,1644856028619,1,14/02/2022 17:27:08,73265,15,questionnaire-37ue,,19434304,BLIND,5767766,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.1,1440x900,1440x900,Part 1 completed,VAS-f-2,2,Part 1 completed,,Accuracy_level_1,No,6,2
9,1644856030885,14/02/2022 16:27:10,1644856028619,1,14/02/2022 17:27:08,73265,15,questionnaire-37ue,,19434304,BLIND,5767766,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.1,1440x900,1440x900,Part 1 completed,VAS-f-2,2,Part 1 completed,,Accuracy_level_1,No,7,2
10,1644856030885,14/02/2022 16:27:10,1644856028619,1,14/02/2022 17:27:08,73265,15,questionnaire-37ue,,19434304,BLIND,5767766,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.1,1440x900,1440x900,Part 1 completed,VAS-f-2,2,Part 1 completed,,Accuracy_level_1,No,8,5
