Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-yiku,checkpoint-gn26,randomiser-2vg5,Randomise questionnaire elements?,Question Key,Response
1,1644854352370,14/02/2022 15:59:12,1644854354523,1,14/02/2022 16:59:14,73265,15,questionnaire-53zf,,19433250,BLIND,5767622,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 97.0,1280x720,1280x635,Part 1 completed,VAS-f-1,2,,Part 1 completed,Accuracy_level_0.55,No,BEGIN QUESTIONNAIRE,
2,1644854462256,14/02/2022 16:01:02,1644854464425,1,14/02/2022 17:01:04,73265,15,questionnaire-53zf,,19433250,BLIND,5767622,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 97.0,1280x720,1263x635,Part 1 completed,VAS-f-1,2,,Part 1 completed,Accuracy_level_0.55,No,0,10
3,1644854462335,14/02/2022 16:01:02,1644854464427,1,14/02/2022 17:01:04,73265,15,questionnaire-53zf,,19433250,BLIND,5767622,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 97.0,1280x720,1263x635,Part 1 completed,VAS-f-1,2,,Part 1 completed,Accuracy_level_0.55,No,1,6
4,1644854462335,14/02/2022 16:01:02,1644854464427,1,14/02/2022 17:01:04,73265,15,questionnaire-53zf,,19433250,BLIND,5767622,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 97.0,1280x720,1263x635,Part 1 completed,VAS-f-1,2,,Part 1 completed,Accuracy_level_0.55,No,2,5
5,1644854462335,14/02/2022 16:01:02,1644854464427,1,14/02/2022 17:01:04,73265,15,questionnaire-53zf,,19433250,BLIND,5767622,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 97.0,1280x720,1263x635,Part 1 completed,VAS-f-1,2,,Part 1 completed,Accuracy_level_0.55,No,3,4
6,1644854462335,14/02/2022 16:01:02,1644854464427,1,14/02/2022 17:01:04,73265,15,questionnaire-53zf,,19433250,BLIND,5767622,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 97.0,1280x720,1263x635,Part 1 completed,VAS-f-1,2,,Part 1 completed,Accuracy_level_0.55,No,4,5
7,1644854462335,14/02/2022 16:01:02,1644854464427,1,14/02/2022 17:01:04,73265,15,questionnaire-53zf,,19433250,BLIND,5767622,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 97.0,1280x720,1263x635,Part 1 completed,VAS-f-1,2,,Part 1 completed,Accuracy_level_0.55,No,5,4
8,1644854462335,14/02/2022 16:01:02,1644854464427,1,14/02/2022 17:01:04,73265,15,questionnaire-53zf,,19433250,BLIND,5767622,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 97.0,1280x720,1263x635,Part 1 completed,VAS-f-1,2,,Part 1 completed,Accuracy_level_0.55,No,6,4
9,1644854462335,14/02/2022 16:01:02,1644854464427,1,14/02/2022 17:01:04,73265,15,questionnaire-53zf,,19433250,BLIND,5767622,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 97.0,1280x720,1263x635,Part 1 completed,VAS-f-1,2,,Part 1 completed,Accuracy_level_0.55,No,7,2
10,1644854462335,14/02/2022 16:01:02,1644854464427,1,14/02/2022 17:01:04,73265,15,questionnaire-53zf,,19433250,BLIND,5767622,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 97.0,1280x720,1263x635,Part 1 completed,VAS-f-1,2,,Part 1 completed,Accuracy_level_0.55,No,8,4
11,1644854462335,14/02/2022 16:01:02,1644854464427,1,14/02/2022 17:01:04,73265,15,questionnaire-53zf,,19433250,BLIND,5767622,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 97.0,1280x720,1263x635,Part 1 completed,VAS-f-1,2,,Part 1 completed,Accuracy_level_0.55,No,9,3
12,1644854462335,14/02/2022 16:01:02,1644854464428,1,14/02/2022 17:01:04,73265,15,questionnaire-53zf,,19433250,BLIND,5767622,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 97.0,1280x720,1263x635,Part 1 completed,VAS-f-1,2,,Part 1 completed,Accuracy_level_0.55,No,10,4
13,1644854462335,14/02/2022 16:01:02,1644854464428,1,14/02/2022 17:01:04,73265,15,questionnaire-53zf,,19433250,BLIND,5767622,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 97.0,1280x720,1263x635,Part 1 completed,VAS-f-1,2,,Part 1 completed,Accuracy_level_0.55,No,11,2
14,1644854462335,14/02/2022 16:01:02,1644854464428,1,14/02/2022 17:01:04,73265,15,questionnaire-53zf,,19433250,BLIND,5767622,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 97.0,1280x720,1263x635,Part 1 completed,VAS-f-1,2,,Part 1 completed,Accuracy_level_0.55,No,12,4
15,1644854462335,14/02/2022 16:01:02,1644854464428,1,14/02/2022 17:01:04,73265,15,questionnaire-53zf,,19433250,BLIND,5767622,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 97.0,1280x720,1263x635,Part 1 completed,VAS-f-1,2,,Part 1 completed,Accuracy_level_0.55,No,13,7
