Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-yiku,checkpoint-gn26,randomiser-2vg5,Randomise questionnaire elements?,Question Key,Response
1,1645039405138,16/02/2022 19:23:25,1645039404954,1,16/02/2022 20:23:24,73265,15,questionnaire-5mfo,,19507489,BLIND,5769943,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Chromium OS 14388.52.0,Chrome 98.0.4758.91,1616x909,1616x759,Part 1 completed,VAS-f-1,2,,Part 1 completed,Accuracy_level_0.55,No,BEGIN QUESTIONNAIRE,
2,1645039441218,16/02/2022 19:24:01,1645039441098,1,16/02/2022 20:24:01,73265,15,questionnaire-5mfo,,19507489,BLIND,5769943,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Chromium OS 14388.52.0,Chrome 98.0.4758.91,1616x909,1616x759,Part 1 completed,VAS-f-1,2,,Part 1 completed,Accuracy_level_0.55,No,0,10
3,1645039441348,16/02/2022 19:24:01,1645039441099,1,16/02/2022 20:24:01,73265,15,questionnaire-5mfo,,19507489,BLIND,5769943,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Chromium OS 14388.52.0,Chrome 98.0.4758.91,1616x909,1616x759,Part 1 completed,VAS-f-1,2,,Part 1 completed,Accuracy_level_0.55,No,1,5
4,1645039441348,16/02/2022 19:24:01,1645039441100,1,16/02/2022 20:24:01,73265,15,questionnaire-5mfo,,19507489,BLIND,5769943,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Chromium OS 14388.52.0,Chrome 98.0.4758.91,1616x909,1616x759,Part 1 completed,VAS-f-1,2,,Part 1 completed,Accuracy_level_0.55,No,2,5
5,1645039441348,16/02/2022 19:24:01,1645039441100,1,16/02/2022 20:24:01,73265,15,questionnaire-5mfo,,19507489,BLIND,5769943,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Chromium OS 14388.52.0,Chrome 98.0.4758.91,1616x909,1616x759,Part 1 completed,VAS-f-1,2,,Part 1 completed,Accuracy_level_0.55,No,3,0
6,1645039441348,16/02/2022 19:24:01,1645039441100,1,16/02/2022 20:24:01,73265,15,questionnaire-5mfo,,19507489,BLIND,5769943,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Chromium OS 14388.52.0,Chrome 98.0.4758.91,1616x909,1616x759,Part 1 completed,VAS-f-1,2,,Part 1 completed,Accuracy_level_0.55,No,4,7
7,1645039441348,16/02/2022 19:24:01,1645039441100,1,16/02/2022 20:24:01,73265,15,questionnaire-5mfo,,19507489,BLIND,5769943,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Chromium OS 14388.52.0,Chrome 98.0.4758.91,1616x909,1616x759,Part 1 completed,VAS-f-1,2,,Part 1 completed,Accuracy_level_0.55,No,5,6
8,1645039441348,16/02/2022 19:24:01,1645039441101,1,16/02/2022 20:24:01,73265,15,questionnaire-5mfo,,19507489,BLIND,5769943,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Chromium OS 14388.52.0,Chrome 98.0.4758.91,1616x909,1616x759,Part 1 completed,VAS-f-1,2,,Part 1 completed,Accuracy_level_0.55,No,6,0
9,1645039441348,16/02/2022 19:24:01,1645039441102,1,16/02/2022 20:24:01,73265,15,questionnaire-5mfo,,19507489,BLIND,5769943,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Chromium OS 14388.52.0,Chrome 98.0.4758.91,1616x909,1616x759,Part 1 completed,VAS-f-1,2,,Part 1 completed,Accuracy_level_0.55,No,7,6
10,1645039441348,16/02/2022 19:24:01,1645039441102,1,16/02/2022 20:24:01,73265,15,questionnaire-5mfo,,19507489,BLIND,5769943,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Chromium OS 14388.52.0,Chrome 98.0.4758.91,1616x909,1616x759,Part 1 completed,VAS-f-1,2,,Part 1 completed,Accuracy_level_0.55,No,8,0
