Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-yiku,checkpoint-gn26,randomiser-2vg5,Randomise questionnaire elements?,Question Key,Response
1,1644934698081,15/02/2022 14:18:18,1644934697564,1,15/02/2022 15:18:17,73265,15,questionnaire-ty7a,,19461250,BLIND,5767622,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 97.0,1280x720,1280x635,Part 1 completed,VAS-f-2,2,,Part 1 completed,Accuracy_level_0.55,No,BEGIN QUESTIONNAIRE,
2,1644934742565,15/02/2022 14:19:02,1644934742124,1,15/02/2022 15:19:02,73265,15,questionnaire-ty7a,,19461250,BLIND,5767622,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 97.0,1280x720,1263x635,Part 1 completed,VAS-f-2,2,,Part 1 completed,Accuracy_level_0.55,No,0,10
3,1644934742637,15/02/2022 14:19:02,1644934742126,1,15/02/2022 15:19:02,73265,15,questionnaire-ty7a,,19461250,BLIND,5767622,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 97.0,1280x720,1263x635,Part 1 completed,VAS-f-2,2,,Part 1 completed,Accuracy_level_0.55,No,1,4
4,1644934742637,15/02/2022 14:19:02,1644934742126,1,15/02/2022 15:19:02,73265,15,questionnaire-ty7a,,19461250,BLIND,5767622,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 97.0,1280x720,1263x635,Part 1 completed,VAS-f-2,2,,Part 1 completed,Accuracy_level_0.55,No,2,3
5,1644934742637,15/02/2022 14:19:02,1644934742126,1,15/02/2022 15:19:02,73265,15,questionnaire-ty7a,,19461250,BLIND,5767622,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 97.0,1280x720,1263x635,Part 1 completed,VAS-f-2,2,,Part 1 completed,Accuracy_level_0.55,No,3,2
6,1644934742637,15/02/2022 14:19:02,1644934742126,1,15/02/2022 15:19:02,73265,15,questionnaire-ty7a,,19461250,BLIND,5767622,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 97.0,1280x720,1263x635,Part 1 completed,VAS-f-2,2,,Part 1 completed,Accuracy_level_0.55,No,4,3
7,1644934742637,15/02/2022 14:19:02,1644934742126,1,15/02/2022 15:19:02,73265,15,questionnaire-ty7a,,19461250,BLIND,5767622,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 97.0,1280x720,1263x635,Part 1 completed,VAS-f-2,2,,Part 1 completed,Accuracy_level_0.55,No,5,2
8,1644934742637,15/02/2022 14:19:02,1644934742126,1,15/02/2022 15:19:02,73265,15,questionnaire-ty7a,,19461250,BLIND,5767622,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 97.0,1280x720,1263x635,Part 1 completed,VAS-f-2,2,,Part 1 completed,Accuracy_level_0.55,No,6,2
9,1644934742637,15/02/2022 14:19:02,1644934742126,1,15/02/2022 15:19:02,73265,15,questionnaire-ty7a,,19461250,BLIND,5767622,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 97.0,1280x720,1263x635,Part 1 completed,VAS-f-2,2,,Part 1 completed,Accuracy_level_0.55,No,7,2
10,1644934742637,15/02/2022 14:19:02,1644934742127,1,15/02/2022 15:19:02,73265,15,questionnaire-ty7a,,19461250,BLIND,5767622,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 97.0,1280x720,1263x635,Part 1 completed,VAS-f-2,2,,Part 1 completed,Accuracy_level_0.55,No,8,3
11,1644934742637,15/02/2022 14:19:02,1644934742128,1,15/02/2022 15:19:02,73265,15,questionnaire-ty7a,,19461250,BLIND,5767622,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 97.0,1280x720,1263x635,Part 1 completed,VAS-f-2,2,,Part 1 completed,Accuracy_level_0.55,No,9,3
12,1644934742637,15/02/2022 14:19:02,1644934742128,1,15/02/2022 15:19:02,73265,15,questionnaire-ty7a,,19461250,BLIND,5767622,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 97.0,1280x720,1263x635,Part 1 completed,VAS-f-2,2,,Part 1 completed,Accuracy_level_0.55,No,10,5
13,1644934742637,15/02/2022 14:19:02,1644934742128,1,15/02/2022 15:19:02,73265,15,questionnaire-ty7a,,19461250,BLIND,5767622,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 97.0,1280x720,1263x635,Part 1 completed,VAS-f-2,2,,Part 1 completed,Accuracy_level_0.55,No,11,2
14,1644934742637,15/02/2022 14:19:02,1644934742128,1,15/02/2022 15:19:02,73265,15,questionnaire-ty7a,,19461250,BLIND,5767622,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 97.0,1280x720,1263x635,Part 1 completed,VAS-f-2,2,,Part 1 completed,Accuracy_level_0.55,No,12,5
15,1644934742637,15/02/2022 14:19:02,1644934742128,1,15/02/2022 15:19:02,73265,15,questionnaire-ty7a,,19461250,BLIND,5767622,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 97.0,1280x720,1263x635,Part 1 completed,VAS-f-2,2,,Part 1 completed,Accuracy_level_0.55,No,13,5
16,1644934742637,15/02/2022 14:19:02,1644934742128,1,15/02/2022 15:19:02,73265,15,questionnaire-ty7a,,19461250,BLIND,5767622,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 97.0,1280x720,1263x635,Part 1 completed,VAS-f-2,2,,Part 1 completed,Accuracy_level_0.55,No,0-quantised,11
17,1644934742637,15/02/2022 14:19:02,1644934742128,1,15/02/2022 15:19:02,73265,15,questionnaire-ty7a,,19461250,BLIND,5767622,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 97.0,1280x720,1263x635,Part 1 completed,VAS-f-2,2,,Part 1 completed,Accuracy_level_0.55,No,1-quantised,5
18,1644934742637,15/02/2022 14:19:02,1644934742128,1,15/02/2022 15:19:02,73265,15,questionnaire-ty7a,,19461250,BLIND,5767622,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 97.0,1280x720,1263x635,Part 1 completed,VAS-f-2,2,,Part 1 completed,Accuracy_level_0.55,No,2-quantised,4
19,1644934742637,15/02/2022 14:19:02,1644934742128,1,15/02/2022 15:19:02,73265,15,questionnaire-ty7a,,19461250,BLIND,5767622,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 97.0,1280x720,1263x635,Part 1 completed,VAS-f-2,2,,Part 1 completed,Accuracy_level_0.55,No,3-quantised,3
20,1644934742637,15/02/2022 14:19:02,1644934742128,1,15/02/2022 15:19:02,73265,15,questionnaire-ty7a,,19461250,BLIND,5767622,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 97.0,1280x720,1263x635,Part 1 completed,VAS-f-2,2,,Part 1 completed,Accuracy_level_0.55,No,4-quantised,4
