Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-yiku,checkpoint-gn26,randomiser-2vg5,Randomise questionnaire elements?,Question Key,Response
1,1644855545984,14/02/2022 16:19:05,1644855545825,1,14/02/2022 17:19:05,73265,15,questionnaire-mxm5,,19434049,BLIND,5767691,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 97.0.4692.99,1920x1080,1920x1001,Part 1 completed,VAS-f-2,2,,Part 1 completed,Accuracy_level_0.55,No,BEGIN QUESTIONNAIRE,
2,1644855566046,14/02/2022 16:19:26,1644855565902,1,14/02/2022 17:19:25,73265,15,questionnaire-mxm5,,19434049,BLIND,5767691,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 97.0.4692.99,1920x1080,1920x1001,Part 1 completed,VAS-f-2,2,,Part 1 completed,Accuracy_level_0.55,No,0,4
3,1644855566142,14/02/2022 16:19:26,1644855565904,1,14/02/2022 17:19:25,73265,15,questionnaire-mxm5,,19434049,BLIND,5767691,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 97.0.4692.99,1920x1080,1920x1001,Part 1 completed,VAS-f-2,2,,Part 1 completed,Accuracy_level_0.55,No,1,4
4,1644855566142,14/02/2022 16:19:26,1644855565904,1,14/02/2022 17:19:25,73265,15,questionnaire-mxm5,,19434049,BLIND,5767691,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 97.0.4692.99,1920x1080,1920x1001,Part 1 completed,VAS-f-2,2,,Part 1 completed,Accuracy_level_0.55,No,2,1
5,1644855566142,14/02/2022 16:19:26,1644855565904,1,14/02/2022 17:19:25,73265,15,questionnaire-mxm5,,19434049,BLIND,5767691,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 97.0.4692.99,1920x1080,1920x1001,Part 1 completed,VAS-f-2,2,,Part 1 completed,Accuracy_level_0.55,No,3,1
6,1644855566142,14/02/2022 16:19:26,1644855565904,1,14/02/2022 17:19:25,73265,15,questionnaire-mxm5,,19434049,BLIND,5767691,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 97.0.4692.99,1920x1080,1920x1001,Part 1 completed,VAS-f-2,2,,Part 1 completed,Accuracy_level_0.55,No,4,0
7,1644855566142,14/02/2022 16:19:26,1644855565904,1,14/02/2022 17:19:25,73265,15,questionnaire-mxm5,,19434049,BLIND,5767691,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 97.0.4692.99,1920x1080,1920x1001,Part 1 completed,VAS-f-2,2,,Part 1 completed,Accuracy_level_0.55,No,5,0
8,1644855566142,14/02/2022 16:19:26,1644855565904,1,14/02/2022 17:19:25,73265,15,questionnaire-mxm5,,19434049,BLIND,5767691,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 97.0.4692.99,1920x1080,1920x1001,Part 1 completed,VAS-f-2,2,,Part 1 completed,Accuracy_level_0.55,No,6,0
9,1644855566142,14/02/2022 16:19:26,1644855565904,1,14/02/2022 17:19:25,73265,15,questionnaire-mxm5,,19434049,BLIND,5767691,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 97.0.4692.99,1920x1080,1920x1001,Part 1 completed,VAS-f-2,2,,Part 1 completed,Accuracy_level_0.55,No,7,0
10,1644855566142,14/02/2022 16:19:26,1644855565905,1,14/02/2022 17:19:25,73265,15,questionnaire-mxm5,,19434049,BLIND,5767691,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 97.0.4692.99,1920x1080,1920x1001,Part 1 completed,VAS-f-2,2,,Part 1 completed,Accuracy_level_0.55,No,8,0
